solver,problem,dim,factor,default,tested,tested_scores,best,best_score,baseline_score
ASTROMORF,NETWORK-1,100,gamma_1,2.5,"[2.0, 2.5, 3.5]","[3086.6458207100745, 3086.6458207100745, 3086.6458207100745]",2.0,3086.6458207100745,3086.6458207100745
ASTROMORF,NETWORK-1,100,gamma_2,1.2,"[1.2, 1.5, 2.0]","[3086.6458207100745, 3087.211085933629, 3090.7495982686887]",1.2,3086.6458207100745,3086.6458207100745
ASTROMORF,NETWORK-1,100,gamma_3,0.5,"[0.3, 0.5, 0.8]","[3005.3044904470603, 3086.6458207100745, 2927.6386731503917]",0.8,2927.6386731503917,3086.6458207100745
ASTROMORF,NETWORK-1,100,lambda_min,5.0,"[4, 6, 10]","[2999.76688600429, 2982.053198733912, 2940.665492870047]",10.0,2940.665492870047,3086.6458207100745
ASTROMORF,NETWORK-1,100,subproblem_regularisation,0.15,"[0.075, 0.15, 0.3]","[2914.837187071605, 3086.6458207100745, 3063.4741361137617]",0.075,2914.837187071605,3086.6458207100745
ASTROMORF,NETWORK-1,100,ps_sufficient_reduction,0.1,"[0.01, 0.02, 0.05]","[3086.6458207100745, 3086.6458207100745, 3086.6458207100745]",0.01,3086.6458207100745,3086.6458207100745
ASTROMORF,ROSENBROCK-1,100,eta_1,0.1,"[0.01, 0.03, 0.05]","[20.79023966285363, 20.79023966285363, 20.79023966285363]",0.01,20.79023966285363,20.79023966285363
ASTROMORF,ROSENBROCK-1,100,eta_2,0.8,"[0.2, 0.5, 0.8]","[26.79215811580972, 20.79023966285363, 20.79023966285363]",0.5,20.79023966285363,20.79023966285363
ASTROMORF,ROSENBROCK-1,100,gamma_1,2.5,"[2.0, 2.5, 3.5]","[43.539912275542335, 20.79023966285363, 30.117374483450188]",2.5,20.79023966285363,20.79023966285363
ASTROMORF,ROSENBROCK-1,100,gamma_2,1.2,"[1.2, 1.5, 2.0]","[20.79023966285363, 19.16932014755635, 45.324481950341344]",1.5,19.16932014755635,20.79023966285363
ASTROMORF,ROSENBROCK-1,100,gamma_3,0.5,"[0.3, 0.5, 0.8]","[47.48300300956447, 20.79023966285363, 36.098527436394306]",0.5,20.79023966285363,20.79023966285363
ASTROMORF,ROSENBROCK-1,100,lambda_min,5.0,"[4, 6, 10]","[30.233424953670752, 4.493001014107285, 17.479901148529976]",6.0,4.493001014107285,20.79023966285363
